Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
ES/SP_04066004_30_I,20,2014-02-01 09:00:00,2014-02-28 09:00:00,0.48000000000000004,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-03-01 09:00:00,2014-03-31 09:00:00,0.42000000000000004,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-04-01 09:00:00,2014-04-30 09:00:00,0.11000000000000001,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-05-01 09:00:00,2014-05-31 09:00:00,0.16,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-06-01 09:00:00,2014-06-30 09:00:00,0.33,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-07-01 09:00:00,2014-07-31 09:00:00,0.094,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-08-01 09:00:00,2014-08-31 09:00:00,0.094,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-09-01 09:00:00,2014-09-30 09:00:00,0.22000000000000003,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-10-01 09:00:00,2014-10-31 09:00:00,0.15000000000000002,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-11-01 09:00:00,2014-11-30 09:00:00,0.32,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2014-12-01 09:00:00,2014-12-31 09:00:00,0.53,ug.m-3,var,1,1,2016-12-16 13:54:00,,6cbd8e41-669d-44b5-a997-356e29d02ea0
ES/SP_04066004_30_I,20,2015-01-01 09:00:00,2015-01-31 09:00:00,0.68,ug.m-3,var,1,1,2016-11-22 11:07:00,,b33c67c5-8e8a-40f2-a0e3-6bc2b4b50505
ES/SP_04066004_30_I,20,2015-02-01 09:00:00,2015-02-28 09:00:00,0.35000000000000003,ug.m-3,var,1,1,2016-11-22 11:07:00,,b33c67c5-8e8a-40f2-a0e3-6bc2b4b50505
ES/SP_04066004_30_I,20,2015-03-01 09:00:00,2015-03-31 09:00:00,0.36000000000000004,ug.m-3,var,1,1,2016-11-22 11:07:00,,b33c67c5-8e8a-40f2-a0e3-6bc2b4b50505
ES/SP_04066004_30_I,20,2015-04-01 09:00:00,2015-04-30 09:00:00,0.14,ug.m-3,var,1,1,2016-11-22 11:07:00,,b33c67c5-8e8a-40f2-a0e3-6bc2b4b50505
ES/SP_04066004_30_I,20,2015-05-01 09:00:00,2015-05-31 09:00:00,0.13,ug.m-3,var,1,1,2016-11-22 11:07:00,,b33c67c5-8e8a-40f2-a0e3-6bc2b4b50505
ES/SP_04066004_30_I,20,2015-06-01 09:00:00,2015-06-30 09:00:00,0.11000000000000001,ug.m-3,var,1,1,2016-11-22 11:07:00,,b33c67c5-8e8a-40f2-a0e3-6bc2b4b50505
